"Name","Year","Height","Weight","Lang_choice","English","Math","Language","History","Physics","Chemistry","Biology","Art"
"Student 2456",2012,173,70,"Spanish",72,94,60,58,76,89,92,49
"Student 2457",2012,168,51,"German",62,80,70,65,59,65,80,61
"Student 2458",2012,170,56,"Hindi",76,65,77,63,72,100,67,58
"Student 2459",2012,168,62,"French",78,82,90,49,72,89,62,36
"Student 2460",2012,170,72,"Spanish",85,71,63,57,77,81,53,60
"Student 2461",2012,173,85,"Hindi",73,74,80,73,81,71,79,58
"Student 2462",2012,163,70,"Hindi",66,72,65,52,85,52,50,79
"Student 2463",2012,174,68,"Hindi",72,50,73,51,63,75,76,71
"Student 2464",2012,177,89,"Hindi",53,45,63,73,97,78,83,83
"Student 2465",2012,170,73,"Spanish",72,77,68,70,58,90,75,70
"Student 2466",2012,179,79,"French",78,77,57,67,73,79,68,52
"Student 2467",2012,164,52,"Spanish",55,57,70,90,62,69,77,70
"Student 2468",2012,170,73,"Spanish",72,65,62,63,65,75,88,83
"Student 2469",2012,170,88,"Spanish",60,83,67,72,79,85,87,64
"Student 2470",2012,172,53,"French",74,83,65,62,93,69,89,49
"Student 2471",2012,176,80,"Spanish",77,76,56,71,87,87,75,67
"Student 2472",2012,169,79,"Hindi",77,83,66,64,70,63,81,87
"Student 2473",2012,166,62,"Hindi",75,98,62,78,78,62,62,67
"Student 2474",2012,174,73,"Hindi",69,58,64,75,60,69,88,74
"Student 2475",2012,171,68,"Spanish",74,91,51,69,89,72,74,74
"Student 2476",2012,175,72,"Spanish",70,88,64,75,88,60,73,66
"Student 2477",2012,179,71,"Spanish",56,54,71,66,78,92,51,44
"Student 2478",2012,172,71,"German",64,70,80,59,68,60,72,79
"Student 2479",2012,174,64,"Spanish",73,58,71,70,81,95,90,89
"Student 2480",2012,174,62,"French",75,89,63,71,95,67,80,62
"Student 2481",2012,179,76,"Hindi",77,65,54,62,51,80,63,58
"Student 2482",2012,167,54,"Spanish",65,62,72,73,82,84,71,62
"Student 2483",2012,177,89,"Hindi",63,82,60,83,58,60,69,67
"Student 2484",2012,173,85,"French",55,41,62,70,93,59,63,52
"Student 2485",2012,172,66,"Hindi",82,37,82,66,57,63,77,83
"Student 2486",2012,163,75,"Spanish",74,63,74,70,82,71,80,58
"Student 2487",2012,178,74,"German",69,71,68,78,85,79,64,71
"Student 2488",2012,180,91,"Spanish",67,82,66,60,73,62,75,47
"Student 2489",2012,183,101,"French",76,81,81,60,80,70,59,83
"Student 2490",2012,166,84,"German",66,75,87,61,62,86,76,69
"Student 2491",2012,166,63,"French",68,83,59,75,69,67,72,69
"Student 2492",2012,174,63,"Spanish",63,70,83,66,77,79,69,72
"Student 2493",2012,173,75,"French",86,78,78,71,87,93,75,54
"Student 2494",2012,166,60,"Hindi",63,46,74,73,95,73,75,55
"Student 2495",2012,170,75,"Spanish",61,55,68,76,62,78,78,38
"Student 2496",2012,172,75,"Spanish",89,73,77,59,100,73,69,39
"Student 2497",2012,171,82,"German",65,58,80,65,75,78,86,70
"Student 2498",2012,177,67,"Hindi",82,64,68,69,81,82,85,48
"Student 2499",2012,168,62,"Spanish",67,70,77,53,66,71,84,52
"Student 2500",2012,174,57,"German",79,89,66,69,80,67,86,56
"Student 2501",2012,171,82,"Spanish",79,79,60,74,52,80,60,70
"Student 2502",2012,171,65,"Spanish",68,80,75,55,55,83,51,85
"Student 2503",2012,170,70,"French",65,64,81,67,80,64,75,71
"Student 2504",2012,183,92,"Hindi",71,74,66,71,61,65,82,84
"Student 2505",2012,174,82,"Spanish",65,84,76,85,71,68,67,72
"Student 2506",2012,171,55,"Spanish",69,67,75,74,76,97,70,70
"Student 2507",2012,171,89,"German",70,81,74,63,83,58,75,49
"Student 2508",2012,176,89,"French",67,92,82,59,63,75,74,93
"Student 2509",2012,168,55,"Spanish",67,39,77,67,80,68,67,60
"Student 2510",2012,166,66,"Hindi",61,66,78,73,95,79,61,62
"Student 2511",2012,175,68,"Hindi",56,70,62,71,61,83,78,74
"Student 2512",2012,168,68,"French",55,93,81,72,80,81,66,59
"Student 2513",2012,180,82,"Spanish",67,72,57,71,84,93,68,91
"Student 2514",2012,173,80,"Hindi",79,100,67,89,58,68,93,42
"Student 2515",2012,169,68,"Spanish",64,70,70,62,78,77,69,56
"Student 2516",2012,178,74,"Spanish",71,65,66,72,97,75,68,71
"Student 2517",2012,167,76,"Spanish",65,72,69,59,84,74,80,64
"Student 2518",2012,172,88,"Hindi",79,70,76,73,64,83,69,71
"Student 2519",2012,175,63,"French",86,43,73,61,66,92,73,54
"Student 2520",2012,170,85,"Spanish",54,72,70,62,97,72,73,39
"Student 2521",2012,169,61,"Spanish",59,72,80,65,65,77,62,79
"Student 2522",2012,180,73,"French",70,62,74,77,86,61,67,68
"Student 2523",2012,171,91,"German",52,69,63,91,69,70,78,57
"Student 2524",2012,175,73,"German",69,59,88,44,53,70,81,68
"Student 2525",2012,172,86,"German",56,55,81,70,64,77,71,68
"Student 2526",2012,164,54,"German",81,61,78,73,65,68,85,64
"Student 2527",2012,170,84,"French",63,86,62,66,87,87,76,88
"Student 2528",2012,173,59,"Hindi",59,100,68,69,59,66,72,84
"Student 2529",2012,170,75,"Hindi",60,80,68,67,87,63,68,79
"Student 2530",2012,176,81,"French",67,65,62,79,90,78,90,75
"Student 2531",2012,163,39,"French",76,53,62,69,75,80,72,61
"Student 2532",2012,166,61,"Spanish",76,67,71,77,69,70,52,51
"Student 2533",2012,175,80,"German",74,65,73,63,87,80,62,66
"Student 2534",2012,172,66,"Hindi",78,88,69,61,68,63,73,68
"Student 2535",2012,173,73,"German",68,68,75,66,100,92,84,61
"Student 2536",2012,172,57,"German",57,59,60,54,78,74,71,62
"Student 2537",2012,171,68,"Hindi",73,75,65,72,91,53,72,60
"Student 2538",2012,170,82,"Hindi",62,57,67,66,73,83,73,86
"Student 2539",2012,170,69,"Hindi",75,89,55,61,69,72,65,49
"Student 2540",2012,167,79,"Spanish",78,59,71,58,94,76,64,60
"Student 2541",2012,168,69,"Spanish",66,56,80,70,81,75,74,78
"Student 2542",2012,170,68,"Hindi",87,64,91,65,88,92,80,85
"Student 2543",2012,172,85,"German",59,70,62,74,88,87,92,87
"Student 2544",2012,166,72,"French",63,41,68,70,66,87,68,85
"Student 2545",2012,177,78,"French",63,98,59,59,75,54,78,57
"Student 2546",2012,169,54,"French",71,77,53,79,53,90,65,53
"Student 2547",2012,179,70,"German",67,40,82,72,99,71,79,80
"Student 2548",2012,176,68,"Hindi",69,71,75,91,62,61,63,66
"Student 2549",2012,170,63,"Hindi",61,50,86,60,69,85,82,62
"Student 2550",2012,167,67,"Hindi",70,63,85,67,64,87,72,57
"Student 2551",2012,171,72,"German",80,75,70,76,68,71,88,43
"Student 2552",2012,174,59,"Hindi",69,45,72,69,81,96,76,79
"Student 2553",2012,171,63,"Hindi",54,90,60,65,83,79,77,55
"Student 2554",2012,167,48,"Hindi",64,73,76,71,70,70,64,36
"Student 2555",2012,174,68,"German",65,92,70,65,68,64,87,66
"Student 2556",2012,163,51,"German",71,62,75,76,72,92,59,72
"Student 2557",2012,174,91,"French",88,100,80,62,100,74,66,83
"Student 2558",2012,177,87,"Hindi",64,61,80,59,77,87,75,59
"Student 2559",2012,175,74,"Spanish",85,84,69,61,94,59,87,59
"Student 2560",2012,179,91,"French",61,62,67,71,64,48,74,60
"Student 2561",2012,164,59,"French",63,75,61,60,58,73,78,67
"Student 2562",2012,169,65,"Spanish",63,84,87,74,79,69,68,80
"Student 2563",2012,164,64,"Hindi",68,85,72,69,80,97,65,94
"Student 2564",2012,160,54,"French",87,61,55,71,91,63,74,69
"Student 2565",2012,170,68,"Hindi",72,65,64,74,89,73,72,51
"Student 2566",2012,163,60,"French",69,59,78,81,67,63,71,79
"Student 2567",2012,163,79,"Hindi",64,78,64,76,83,89,80,54
"Student 2568",2012,174,59,"German",66,66,79,64,77,78,80,74
"Student 2569",2012,166,83,"French",67,54,85,52,74,76,54,94
"Student 2570",2012,178,73,"Spanish",49,72,70,69,58,81,84,75
"Student 2571",2012,179,75,"Spanish",68,62,65,44,81,75,82,74
"Student 2572",2012,168,76,"Spanish",84,75,76,57,100,74,79,67
"Student 2573",2012,180,87,"French",77,80,71,83,73,74,77,70
"Student 2574",2012,176,69,"Hindi",66,61,74,72,86,99,70,65
"Student 2575",2012,164,69,"Hindi",65,89,89,70,63,64,84,72
"Student 2576",2012,173,97,"Hindi",66,83,71,77,100,75,63,56
"Student 2577",2012,170,82,"German",72,100,68,58,64,60,72,75
"Student 2578",2012,170,73,"Hindi",61,64,62,62,56,63,100,56
"Student 2579",2012,172,77,"Spanish",59,87,78,77,68,85,78,50
"Student 2580",2012,176,96,"Spanish",65,41,49,59,71,58,81,71
"Student 2581",2012,168,60,"Hindi",68,63,79,72,61,76,98,74
"Student 2582",2012,170,60,"Spanish",63,93,78,64,72,62,72,44
"Student 2583",2012,167,70,"French",78,63,67,63,71,77,85,40
"Student 2584",2012,167,67,"Hindi",75,80,70,55,76,87,94,51
"Student 2585",2012,167,62,"Spanish",71,100,58,88,58,72,71,72
"Student 2586",2012,168,52,"French",77,83,66,63,94,68,70,76
"Student 2587",2012,171,66,"Hindi",77,69,64,63,71,83,76,88
"Student 2588",2012,175,53,"Hindi",64,71,57,57,73,76,69,71
"Student 2589",2012,172,64,"Spanish",58,68,61,82,89,98,64,66
"Student 2590",2012,179,82,"German",79,74,72,75,69,92,70,74
"Student 2591",2012,177,73,"German",74,87,65,65,77,71,73,54
"Student 2592",2012,171,72,"French",75,87,84,63,90,93,71,81
"Student 2593",2012,172,78,"Hindi",78,75,75,75,59,58,82,80
"Student 2594",2012,175,73,"Hindi",75,70,73,77,69,87,80,82
"Student 2595",2012,174,75,"Spanish",73,73,60,69,59,61,53,73
"Student 2596",2012,178,89,"German",75,77,61,65,94,75,70,36
"Student 2597",2012,173,68,"Hindi",82,52,59,60,52,69,66,76
"Student 2598",2012,171,63,"Hindi",70,86,70,51,77,71,60,63
"Student 2599",2012,169,66,"French",83,70,69,65,86,64,73,57
"Student 2600",2012,173,84,"German",74,77,53,68,82,62,75,94
"Student 2601",2012,169,79,"German",67,45,67,56,65,68,81,88
"Student 2602",2012,162,57,"Hindi",62,77,75,63,81,80,66,79
"Student 2603",2012,165,83,"French",80,55,60,59,91,82,74,60
"Student 2604",2012,176,72,"Spanish",50,75,76,77,81,67,80,90
"Student 2605",2012,166,63,"Spanish",78,67,81,49,76,54,82,38
"Student 2606",2012,175,81,"French",79,78,73,76,94,72,85,47
"Student 2607",2012,168,70,"French",74,76,70,73,62,82,72,61
"Student 2608",2012,170,79,"Hindi",83,57,68,63,67,77,77,78
"Student 2609",2012,172,60,"Hindi",91,68,63,71,76,73,76,80
"Student 2610",2012,171,86,"French",61,68,71,65,80,80,60,82
"Student 2611",2012,164,95,"Hindi",70,56,70,74,92,79,91,48
"Student 2612",2012,176,69,"Hindi",73,53,74,73,99,63,81,94
"Student 2613",2012,172,86,"Spanish",78,46,69,79,74,78,62,44
"Student 2614",2012,168,59,"Spanish",90,62,68,59,78,72,79,42
"Student 2615",2012,171,60,"French",77,90,74,59,89,70,85,75
"Student 2616",2012,175,69,"German",91,78,63,69,96,64,62,78
"Student 2617",2012,174,57,"Hindi",67,69,73,59,74,67,65,58
"Student 2618",2012,174,89,"Spanish",62,59,94,66,99,73,67,71
"Student 2619",2012,165,60,"Hindi",68,65,72,63,68,56,68,68
"Student 2620",2012,173,79,"French",77,66,64,64,67,83,84,54
"Student 2621",2012,171,91,"German",91,61,53,70,83,74,70,48
"Student 2622",2012,171,57,"Hindi",61,83,55,71,57,73,73,66
"Student 2623",2012,181,91,"Spanish",87,81,72,54,69,81,76,46
"Student 2624",2012,171,55,"French",64,67,62,66,66,88,82,74
"Student 2625",2012,173,73,"German",62,46,59,67,74,86,95,64
"Student 2626",2012,170,81,"Spanish",58,44,68,53,74,100,75,59
"Student 2627",2012,171,72,"French",51,77,71,73,83,79,74,91
"Student 2628",2012,170,73,"Hindi",84,37,72,59,57,57,84,79
"Student 2629",2012,161,69,"French",90,82,57,55,84,57,73,57
"Student 2630",2012,169,57,"French",63,78,88,83,85,73,64,65
"Student 2631",2012,170,74,"German",75,80,69,52,98,81,71,66
"Student 2632",2012,175,63,"German",52,72,71,67,85,84,75,60
"Student 2633",2012,179,78,"French",70,68,67,64,84,78,88,53
"Student 2634",2012,175,55,"Hindi",73,98,81,74,63,75,77,70
"Student 2635",2012,169,57,"Spanish",53,63,70,62,75,77,68,77
"Student 2636",2012,171,73,"German",57,83,62,70,78,90,64,52
"Student 2637",2012,174,63,"French",41,75,64,62,68,72,62,72
"Student 2638",2012,167,43,"Hindi",77,70,78,84,100,75,81,81
"Student 2639",2012,169,62,"French",70,72,82,70,68,75,72,48
"Student 2640",2012,175,69,"Hindi",59,80,60,75,80,72,77,81
"Student 2641",2012,168,68,"Spanish",72,53,73,72,72,75,76,63
"Student 2642",2012,178,74,"German",88,69,88,75,69,78,82,63
"Student 2643",2012,167,66,"German",72,92,63,69,62,77,71,80
"Student 2644",2012,168,76,"Hindi",49,85,71,66,87,72,65,75
"Student 2645",2012,165,61,"Hindi",54,68,74,64,91,80,69,55
"Student 2646",2012,175,80,"German",70,71,64,80,65,83,74,72
"Student 2647",2012,172,67,"Hindi",74,49,69,69,61,96,87,44
"Student 2648",2012,174,78,"German",62,62,80,69,72,84,76,94
"Student 2649",2012,176,65,"German",64,67,67,63,84,71,77,88
"Student 2650",2012,169,72,"French",74,64,70,75,54,97,76,80
"Student 2651",2012,170,56,"Hindi",77,71,72,66,80,74,66,56
"Student 2652",2012,171,68,"Hindi",81,39,79,55,50,53,67,88
"Student 2653",2012,170,48,"Hindi",65,71,75,69,69,68,76,71
"Student 2654",2012,179,78,"Spanish",70,73,80,65,54,76,91,65
"Student 2655",2012,172,69,"French",68,86,76,78,92,75,79,48
"Student 2656",2012,164,82,"French",66,85,72,57,79,86,57,52
"Student 2657",2012,171,52,"French",90,68,74,63,81,71,80,58
"Student 2658",2012,170,80,"Hindi",73,100,76,68,89,50,68,47
"Student 2659",2012,170,77,"Hindi",66,85,72,73,96,80,77,59
"Student 2660",2012,175,100,"Spanish",81,72,43,61,74,71,78,90
"Student 2661",2012,172,86,"Spanish",52,83,75,65,79,71,67,54
"Student 2662",2012,167,64,"Hindi",63,60,66,57,84,75,78,67
"Student 2663",2012,168,66,"Hindi",66,57,69,65,70,72,85,71
"Student 2664",2012,172,70,"German",74,59,68,70,83,62,63,56
"Student 2665",2012,181,95,"French",74,70,65,62,71,68,90,69
"Student 2666",2012,170,86,"French",77,64,64,65,87,81,100,61
"Student 2667",2012,172,70,"German",75,47,73,86,76,83,83,80
"Student 2668",2012,168,64,"Spanish",66,69,58,76,71,76,77,66
"Student 2669",2012,167,54,"Hindi",83,100,80,89,77,64,90,65
"Student 2670",2012,163,55,"German",84,96,63,72,78,63,80,80
"Student 2671",2012,174,74,"Spanish",62,100,70,60,63,76,79,91
"Student 2672",2012,170,79,"French",66,75,67,92,82,66,72,64
"Student 2673",2012,172,54,"Spanish",64,82,64,82,62,82,86,54
"Student 2674",2012,174,85,"Hindi",49,81,70,66,75,76,63,68
"Student 2675",2012,172,71,"French",56,76,80,73,72,77,82,81
"Student 2676",2012,171,84,"French",64,65,75,71,70,76,84,40
"Student 2677",2012,177,79,"German",77,75,76,67,64,71,88,70
"Student 2678",2012,167,67,"German",52,74,73,66,77,80,81,78
"Student 2679",2012,180,99,"Hindi",85,74,78,62,85,79,79,62
"Student 2680",2012,173,90,"French",63,65,78,75,68,72,68,94
"Student 2681",2012,174,72,"Hindi",78,38,66,60,60,81,73,67
"Student 2682",2012,163,54,"Hindi",83,82,75,80,78,62,67,73
"Student 2683",2012,174,74,"Hindi",86,42,74,57,77,80,70,80
"Student 2684",2012,168,66,"Hindi",83,85,66,75,60,69,78,57
"Student 2685",2012,171,78,"German",75,78,60,92,77,70,74,59
"Student 2686",2012,176,91,"Spanish",72,85,70,82,87,78,53,70
"Student 2687",2012,176,62,"German",85,75,92,64,63,80,73,87
"Student 2688",2012,172,60,"Hindi",77,49,85,51,63,83,70,71
"Student 2689",2012,167,80,"Spanish",65,86,67,72,77,72,63,70
"Student 2690",2012,174,76,"French",68,86,68,65,62,81,60,53
"Student 2691",2012,164,66,"Hindi",79,76,69,79,63,87,89,57
"Student 2692",2012,169,62,"Hindi",56,70,66,76,72,73,89,82
"Student 2693",2012,162,60,"German",73,67,64,77,70,68,80,46
"Student 2694",2012,173,77,"Hindi",68,56,71,59,79,86,59,76
"Student 2695",2012,171,73,"German",71,38,57,51,74,66,82,79
"Student 2696",2012,176,67,"French",61,61,80,60,72,79,71,61
"Student 2697",2012,168,81,"Hindi",60,52,61,69,69,67,80,57
"Student 2698",2012,170,83,"Hindi",54,79,74,77,75,66,59,59
"Student 2699",2012,168,65,"Hindi",62,83,70,70,76,63,72,58
"Student 2700",2012,169,60,"Spanish",54,60,65,78,52,73,77,70
"Student 2701",2012,167,57,"French",76,48,70,76,60,75,54,84
"Student 2702",2012,174,75,"Hindi",75,72,68,83,68,68,83,53
"Student 2703",2012,164,66,"Spanish",71,67,91,62,87,73,65,88
"Student 2704",2012,171,55,"Spanish",58,84,71,64,74,66,70,77
"Student 2705",2012,175,70,"Hindi",55,93,65,79,77,66,74,58
"Student 2706",2012,174,55,"Spanish",81,92,71,73,79,71,89,53
"Student 2707",2012,171,81,"Hindi",62,75,79,68,80,62,72,89
"Student 2708",2012,169,74,"German",61,92,53,68,75,69,64,61
"Student 2709",2012,178,80,"French",65,75,67,65,80,70,80,47
"Student 2710",2012,169,76,"German",75,51,83,63,67,75,92,90
"Student 2711",2012,171,63,"German",83,57,86,68,82,82,59,59
"Student 2712",2012,169,62,"Hindi",90,49,84,78,77,80,55,63
"Student 2713",2012,171,61,"Spanish",65,58,62,72,89,83,93,61
"Student 2714",2012,168,96,"German",83,53,63,69,65,76,83,75
"Student 2715",2012,181,85,"Hindi",91,56,68,79,98,73,85,74
"Student 2716",2012,168,60,"French",86,49,73,60,70,79,84,70
"Student 2717",2012,169,68,"French",69,39,66,75,53,100,82,47
"Student 2718",2012,170,84,"Spanish",77,82,74,75,87,81,74,79
"Student 2719",2012,172,63,"German",80,55,79,60,83,67,71,37
"Student 2720",2012,176,89,"Hindi",76,57,72,84,77,72,86,37
"Student 2721",2012,171,63,"German",68,70,57,81,70,64,74,67
"Student 2722",2012,174,85,"Hindi",62,85,55,62,100,93,66,67
"Student 2723",2012,168,52,"Spanish",76,68,78,76,73,80,58,67
"Student 2724",2012,175,72,"French",51,64,71,42,55,68,84,41
"Student 2725",2012,169,81,"Hindi",77,65,69,68,93,79,80,70
"Student 2726",2012,170,64,"Spanish",86,75,70,62,67,64,68,81
"Student 2727",2012,168,71,"German",70,61,72,75,58,70,72,62
"Student 2728",2012,181,63,"Spanish",67,58,70,70,69,89,87,88
"Student 2729",2012,170,85,"French",68,63,76,70,68,81,63,81
"Student 2730",2012,172,60,"Hindi",68,59,71,59,66,79,66,77
"Student 2731",2012,178,81,"Spanish",75,100,67,61,57,73,96,85
"Student 2732",2012,172,63,"Spanish",76,100,64,70,77,79,60,82
"Student 2733",2012,180,60,"German",66,71,75,63,86,74,62,78
"Student 2734",2012,175,75,"French",47,58,55,70,72,72,73,48
"Student 2735",2012,168,75,"Hindi",83,74,67,66,82,61,64,67
"Student 2736",2012,165,66,"French",63,100,61,72,67,84,53,50
"Student 2737",2012,172,62,"Spanish",59,87,83,68,82,71,62,60
"Student 2738",2012,168,76,"French",57,73,69,60,94,71,67,94
"Student 2739",2012,172,53,"Spanish",54,45,75,68,81,74,59,94
"Student 2740",2012,164,54,"Hindi",65,89,77,70,50,86,76,66
"Student 2741",2012,183,91,"French",91,100,46,60,75,61,87,55
"Student 2742",2012,182,104,"German",69,47,57,62,59,85,74,59
"Student 2743",2012,177,78,"Hindi",69,81,55,66,77,74,48,40
"Student 2744",2012,166,79,"Spanish",63,56,66,50,88,88,75,82
"Student 2745",2012,178,65,"Hindi",68,89,68,68,85,76,95,65
"Student 2746",2012,176,70,"Hindi",81,86,78,74,83,64,74,54
"Student 2747",2012,160,63,"Spanish",64,59,61,65,95,81,74,61
"Student 2748",2012,172,63,"German",72,68,76,66,82,74,59,86
"Student 2749",2012,167,64,"French",76,99,69,78,81,91,74,55
"Student 2750",2012,174,66,"German",69,76,82,53,68,82,76,76
"Student 2751",2012,182,68,"Hindi",60,54,67,73,97,67,78,75
"Student 2752",2012,171,82,"German",76,79,57,66,69,55,61,67
"Student 2753",2012,164,55,"Spanish",68,69,79,74,50,63,66,57
"Student 2754",2012,174,78,"Spanish",85,67,77,69,75,78,56,72
"Student 2755",2012,174,85,"Hindi",72,54,60,63,65,60,63,35
"Student 2756",2012,173,74,"Hindi",68,72,78,60,79,69,85,73
"Student 2757",2012,169,65,"Hindi",66,88,68,92,85,76,73,54
"Student 2758",2012,167,73,"Hindi",63,99,90,62,59,59,56,70
"Student 2759",2012,167,53,"Spanish",74,90,65,72,77,88,73,63
"Student 2760",2012,173,55,"Hindi",72,89,60,84,72,75,74,59
"Student 2761",2012,169,69,"Hindi",86,96,60,59,100,70,65,45
"Student 2762",2012,177,91,"Hindi",61,47,81,63,57,73,73,39
"Student 2763",2012,166,51,"German",60,78,82,71,76,71,84,58
"Student 2764",2012,171,75,"Hindi",70,100,57,72,73,62,67,68
"Student 2765",2012,170,69,"French",66,89,79,70,64,81,66,62
"Student 2766",2012,169,71,"Hindi",60,61,80,59,73,63,84,81
"Student 2767",2012,167,91,"Spanish",71,100,76,74,95,96,71,66
"Student 2768",2012,177,68,"Spanish",75,72,71,72,61,81,63,58
"Student 2769",2012,168,72,"French",55,75,74,68,88,72,77,66
"Student 2770",2012,174,79,"French",75,72,73,69,73,81,73,67
"Student 2771",2012,172,65,"Hindi",79,36,77,64,68,66,58,59
"Student 2772",2012,174,91,"German",66,96,69,59,81,61,72,68
"Student 2773",2012,172,77,"French",71,75,69,71,72,85,66,76
"Student 2774",2012,167,66,"Hindi",60,86,65,74,81,86,87,58
"Student 2775",2012,176,76,"Hindi",75,79,79,75,88,47,72,79
"Student 2776",2012,167,70,"French",63,76,83,65,84,65,78,56
"Student 2777",2012,171,66,"French",73,70,78,68,66,73,77,91
"Student 2778",2012,166,83,"German",62,49,66,64,84,56,84,64
"Student 2779",2012,172,82,"Spanish",82,80,64,70,84,74,61,78
"Student 2780",2012,172,65,"Hindi",65,69,63,79,85,72,90,61
"Student 2781",2012,172,80,"Spanish",86,72,68,58,93,44,65,82
"Student 2782",2012,174,63,"German",69,51,63,69,70,83,57,56
"Student 2783",2012,170,88,"German",60,63,83,64,86,93,62,42
"Student 2784",2012,166,78,"Hindi",77,63,67,66,67,73,96,65
"Student 2785",2012,177,73,"Spanish",87,41,72,82,91,88,76,80
"Student 2786",2012,179,77,"Hindi",65,73,65,77,60,77,70,60
"Student 2787",2012,166,68,"Spanish",71,63,68,59,71,65,80,47
"Student 2788",2012,176,80,"Hindi",61,63,73,62,76,64,78,66
"Student 2789",2012,170,59,"German",49,69,75,65,87,69,66,54
"Student 2790",2012,165,63,"Hindi",70,51,66,76,100,77,61,78
"Student 2791",2012,172,65,"Hindi",62,64,67,67,75,85,70,73
"Student 2792",2012,167,66,"Hindi",68,83,65,63,66,89,81,61
"Student 2793",2012,171,70,"German",72,53,83,71,70,85,88,42
"Student 2794",2012,180,81,"Spanish",65,73,73,68,78,78,82,78
"Student 2795",2012,162,65,"Hindi",86,77,65,55,67,93,69,48
"Student 2796",2012,167,75,"Hindi",68,61,64,60,76,71,84,56
"Student 2797",2012,165,75,"German",82,71,68,65,92,89,71,55
"Student 2798",2012,175,88,"German",60,68,91,58,91,100,61,62
"Student 2799",2012,162,38,"Spanish",72,92,60,75,68,64,69,91
"Student 2800",2012,174,61,"Hindi",74,68,84,56,62,67,66,63
"Student 2801",2012,177,61,"German",62,86,76,66,81,81,63,77
"Student 2802",2012,168,72,"Spanish",74,72,61,80,77,87,75,75
"Student 2803",2012,172,70,"Hindi",70,55,75,64,76,88,65,68
"Student 2804",2012,174,64,"Hindi",84,87,72,51,95,65,62,54
"Student 2805",2012,167,85,"Hindi",58,100,83,69,84,99,100,45
"Student 2806",2012,168,65,"Spanish",72,73,70,69,92,70,61,38
"Student 2807",2012,166,73,"Hindi",75,100,72,86,70,60,77,85
"Student 2808",2012,180,79,"Spanish",61,64,84,81,86,79,63,20
"Student 2809",2012,171,82,"Spanish",59,60,78,71,61,55,71,60
"Student 2810",2012,174,66,"German",70,65,63,72,51,79,82,55
"Student 2811",2012,173,79,"Hindi",71,95,76,68,77,96,74,80
"Student 2812",2012,178,68,"Spanish",84,59,70,82,68,62,80,94
"Student 2813",2012,162,59,"Spanish",65,54,72,67,84,78,62,62
"Student 2814",2012,174,84,"Spanish",69,81,63,60,59,94,78,59
"Student 2815",2012,173,84,"Hindi",70,84,66,58,82,84,95,66
"Student 2816",2012,172,60,"Spanish",63,33,65,64,83,62,82,79
"Student 2817",2012,165,76,"German",53,60,70,61,72,79,64,58
"Student 2818",2012,174,93,"Hindi",72,92,57,75,80,85,75,68
"Student 2819",2012,175,92,"Hindi",71,77,68,71,85,75,75,55
"Student 2820",2012,170,65,"French",55,80,61,68,85,72,68,87
"Student 2821",2012,170,75,"Spanish",63,65,79,84,68,65,79,42
"Student 2822",2012,182,94,"German",58,67,61,85,78,74,74,80
"Student 2823",2012,177,67,"Spanish",65,66,77,60,81,82,79,77
"Student 2824",2012,178,71,"French",67,56,73,62,70,77,84,69
"Student 2825",2012,180,74,"Hindi",73,83,74,63,66,80,92,65
"Student 2826",2012,172,67,"Hindi",56,65,73,72,87,62,83,62
"Student 2827",2012,167,76,"German",49,64,76,64,74,78,71,57
"Student 2828",2012,180,91,"German",54,64,78,70,81,76,71,40
"Student 2829",2012,172,67,"Hindi",55,46,64,80,91,82,67,94
"Student 2830",2012,172,79,"French",66,55,67,76,93,80,70,84
"Student 2831",2012,171,69,"German",45,53,70,66,56,77,78,80
"Student 2832",2012,161,69,"French",86,34,63,72,81,68,76,55
"Student 2833",2012,167,72,"Spanish",76,55,71,57,87,87,75,67
"Student 2834",2012,177,83,"Hindi",70,75,46,51,76,79,72,56
"Student 2835",2012,177,87,"French",64,58,66,83,70,72,72,68
"Student 2836",2012,179,75,"Spanish",72,98,70,75,90,67,81,70
"Student 2837",2012,170,72,"Hindi",65,89,62,62,73,73,92,52
"Student 2838",2012,167,52,"Hindi",76,80,79,65,85,86,75,65
"Student 2839",2012,178,63,"Spanish",72,80,76,75,86,77,77,41
"Student 2840",2012,172,66,"Spanish",71,76,67,62,63,64,81,64
"Student 2841",2012,169,59,"French",91,81,67,77,83,68,67,54
"Student 2842",2012,165,75,"Hindi",71,54,58,58,83,75,90,54
"Student 2843",2012,175,87,"Spanish",73,79,87,60,90,67,50,59
"Student 2844",2012,177,91,"Hindi",62,44,48,68,72,73,74,55
"Student 2845",2012,176,75,"Spanish",62,34,85,66,70,72,79,62
"Student 2846",2012,170,74,"Hindi",79,82,77,87,86,69,85,51
"Student 2847",2012,167,66,"German",78,66,73,68,61,44,69,61
"Student 2848",2012,173,76,"Hindi",71,42,67,83,79,82,66,62
"Student 2849",2012,172,76,"French",55,76,62,67,67,65,84,58
"Student 2850",2012,178,76,"Spanish",73,59,73,62,65,69,82,82
"Student 2851",2012,176,58,"German",65,70,75,73,65,64,80,81
"Student 2852",2012,178,96,"German",65,45,63,56,76,68,77,80
"Student 2853",2012,172,75,"French",63,64,55,76,68,70,89,60
"Student 2854",2012,176,81,"Hindi",77,95,69,69,84,91,71,64
"Student 2855",2012,170,81,"Hindi",67,52,74,77,98,87,79,65
